Implementation,NumElements,TimeMillis,ThroughputWPerSec,AvgNanos
RTMAdaptiveCoarse,1152,1996.04,4.00793e+06,249.505
RTMAdaptiveFine,1152,1988.62,4.0229e+06,248.577
RTMNaive,1152,1948.6,4.10552e+06,243.574
Coarse,1216,2061.28,3.88109e+06,257.66
Fine,1216,2325.31,3.44041e+06,290.663
RTMAdaptiveCoarse,1216,1998.3,4.0034e+06,249.787
RTMAdaptiveFine,1216,1997.78,4.00445e+06,249.722
RTMNaive,1216,1956.02,4.08994e+06,244.502
Coarse,1280,2313.89,3.45738e+06,289.236
Fine,1280,2283.48,3.50343e+06,285.435
RTMAdaptiveCoarse,1280,1997.47,4.00506e+06,249.684
RTMAdaptiveFine,1280,1991.51,4.01706e+06,248.938
RTMNaive,1280,1953.97,4.09422e+06,244.246
Coarse,1344,2280.37,3.5082e+06,285.047
Fine,1344,2082.55,3.84144e+06,260.319
RTMAdaptiveCoarse,1344,1997.12,4.00578e+06,249.639
RTMAdaptiveFine,1344,1995.01,4.01001e+06,249.376
RTMNaive,1344,1955.86,4.09027e+06,244.482
Coarse,1408,2298.16,3.48104e+06,287.271
Fine,1408,1790.35,4.4684e+06,223.794
RTMAdaptiveCoarse,1408,1998.98,4.00204e+06,249.873
RTMAdaptiveFine,1408,1991.3,4.01747e+06,248.913
RTMNaive,1408,1962.03,4.07741e+06,245.254
Coarse,1472,2164.68,3.6957e+06,270.585
Fine,1472,2331.24,3.43165e+06,291.405
RTMAdaptiveCoarse,1472,2001.92,3.99617e+06,250.24
RTMAdaptiveFine,1472,1995.36,4.00931e+06,249.419
RTMNaive,1472,1951.48,4.09946e+06,243.935
Coarse,1536,2246.16,3.56164e+06,280.77
Fine,1536,2144.01,3.73133e+06,268.001
RTMAdaptiveCoarse,1536,1999.82,4.00037e+06,249.977
RTMAdaptiveFine,1536,2002.8,3.99441e+06,250.35
RTMNaive,1536,1957.83,4.08615e+06,244.729
Coarse,1600,2250.47,3.55481e+06,281.309
Fine,1600,2289.92,3.49357e+06,286.24
RTMAdaptiveCoarse,1600,1994.77,4.01049e+06,249.346
RTMAdaptiveFine,1600,1997.06,4.00589e+06,249.632
RTMNaive,1600,1955,4.09208e+06,244.375
Coarse,1664,1814.69,4.40846e+06,226.837
Fine,1664,2246.7,3.56078e+06,280.838
RTMAdaptiveCoarse,1664,1993.1,4.01385e+06,249.137
RTMAdaptiveFine,1664,1994.77,4.01049e+06,249.346
RTMNaive,1664,1952.98,4.0963e+06,244.123
Coarse,1728,2216.82,3.60877e+06,277.103
Fine,1728,2265.49,3.53124e+06,283.187
RTMAdaptiveCoarse,1728,2001.16,3.99768e+06,250.145
RTMAdaptiveFine,1728,1996.96,4.00608e+06,249.62
RTMNaive,1728,1957.32,4.08722e+06,244.665
Coarse,1792,2152.41,3.71677e+06,269.051
Fine,1792,2247.17,3.56004e+06,280.896
RTMAdaptiveCoarse,1792,1995.35,4.00931e+06,249.419
RTMAdaptiveFine,1792,2001.96,3.99609e+06,250.244
RTMNaive,1792,1952.4,4.09752e+06,244.05
Coarse,1856,2248.57,3.55781e+06,281.071
Fine,1856,2344.76,3.41186e+06,293.095
RTMAdaptiveCoarse,1856,2006.71,3.98662e+06,250.839
RTMAdaptiveFine,1856,1993.71,4.01263e+06,249.213
RTMNaive,1856,1960.54,4.08051e+06,245.067
Coarse,1920,2127.78,3.75978e+06,265.973
Fine,1920,2153.66,3.71461e+06,269.208
RTMAdaptiveCoarse,1920,2004.54,3.99093e+06,250.568
RTMAdaptiveFine,1920,2002.11,3.99579e+06,250.263
RTMNaive,1920,1957.39,4.08708e+06,244.673
Coarse,1984,2330.48,3.43276e+06,291.31
Fine,1984,2281.21,3.50691e+06,285.151
RTMAdaptiveCoarse,1984,2001,3.99799e+06,250.125
RTMAdaptiveFine,1984,2005.03,3.98997e+06,250.628
RTMNaive,1984,1961.56,4.07839e+06,245.195
Coarse,2048,2063.86,3.87624e+06,257.982
Fine,2048,2306.19,3.46893e+06,288.273
RTMAdaptiveCoarse,2048,2005.18,3.98967e+06,250.647
RTMAdaptiveFine,2048,1999.25,4.0015e+06,249.906
RTMNaive,2048,1962.87,4.07567e+06,245.359
Coarse,2112,2289.34,3.49446e+06,286.167
Fine,2112,2097.14,3.81471e+06,262.143
RTMAdaptiveCoarse,2112,2003.8,3.99241e+06,250.475
RTMAdaptiveFine,2112,2002.69,3.99463e+06,250.336
RTMNaive,2112,1954.95,4.09218e+06,244.368
Coarse,2176,2168.69,3.68886e+06,271.087
Fine,2176,2083.07,3.84048e+06,260.384
RTMAdaptiveCoarse,2176,2002.06,3.99588e+06,250.258
RTMAdaptiveFine,2176,2040.62,3.92038e+06,255.077
RTMNaive,2176,1967.4,4.06628e+06,245.925
Coarse,2240,2092.73,3.82276e+06,261.591
Fine,2240,1777.73,4.50012e+06,222.216
RTMAdaptiveCoarse,2240,1995.44,4.00914e+06,249.43
RTMAdaptiveFine,2240,2005.27,3.98949e+06,250.659
RTMNaive,2240,1957,4.08789e+06,244.625
Coarse,2304,2236.52,3.57699e+06,279.565
Fine,2304,2281.13,3.50704e+06,285.141
RTMAdaptiveCoarse,2304,2003.61,3.99279e+06,250.452
RTMAdaptiveFine,2304,2001.74,3.99653e+06,250.217
RTMNaive,2304,1964.37,4.07255e+06,245.546
Coarse,2368,2207.49,3.62403e+06,275.936
Fine,2368,2258.44,3.54226e+06,282.305
RTMAdaptiveCoarse,2368,2002.33,3.99534e+06,250.291
RTMAdaptiveFine,2368,1997.97,4.00406e+06,249.747
RTMNaive,2368,1961.12,4.0793e+06,245.14
Coarse,2432,2263.41,3.53449e+06,282.926
Fine,2432,2245.99,3.56191e+06,280.749
RTMAdaptiveCoarse,2432,1997.34,4.00532e+06,249.668
RTMAdaptiveFine,2432,2005.68,3.98867e+06,250.71
RTMNaive,2432,1962.25,4.07694e+06,245.282
Coarse,2496,2124.04,3.7664e+06,265.505
Fine,2496,2320.11,3.44811e+06,290.014
RTMAdaptiveCoarse,2496,1997.05,4.0059e+06,249.632
RTMAdaptiveFine,2496,1996.1,4.00781e+06,249.513
RTMNaive,2496,1964.24,4.07281e+06,245.531
Coarse,2560,2224.84,3.59576e+06,278.105
Fine,2560,2356.48,3.3949e+06,294.559
RTMAdaptiveCoarse,2560,2005.6,3.98884e+06,250.699
RTMAdaptiveFine,2560,2001.09,3.99782e+06,250.136
RTMNaive,2560,1964.61,4.07205e+06,245.576
Coarse,2624,2219.55,3.60433e+06,277.444
Fine,2624,2309.54,3.46389e+06,288.692
RTMAdaptiveCoarse,2624,2002.9,3.9942e+06,250.363
RTMAdaptiveFine,2624,2002.75,3.99452e+06,250.343
RTMNaive,2624,1965.29,4.07064e+06,245.661
Coarse,2688,2112.08,3.78774e+06,264.01
Fine,2688,1778.75,4.49753e+06,222.344
RTMAdaptiveCoarse,2688,2007.57,3.98492e+06,250.946
RTMAdaptiveFine,2688,1997.12,4.00578e+06,249.639
RTMNaive,2688,1967.04,4.06703e+06,245.88
Coarse,2752,2200.44,3.63563e+06,275.055
Fine,2752,2322.28,3.44489e+06,290.285
RTMAdaptiveCoarse,2752,2000.3,3.99941e+06,250.037
RTMAdaptiveFine,2752,2003.79,3.99244e+06,250.473
RTMNaive,2752,1961.91,4.07765e+06,245.239
Coarse,2816,2241.51,3.56903e+06,280.188
Fine,2816,2226.77,3.59265e+06,278.346
RTMAdaptiveCoarse,2816,2003.9,3.99221e+06,250.488
RTMAdaptiveFine,2816,2004.57,3.99088e+06,250.571
RTMNaive,2816,1958.62,4.0845e+06,244.828
Coarse,2880,2325.47,3.44016e+06,290.684
Fine,2880,2269.13,3.52559e+06,283.641
RTMAdaptiveCoarse,2880,2007.37,3.98531e+06,250.921
RTMAdaptiveFine,2880,2002.27,3.99547e+06,250.284
RTMNaive,2880,1959.48,4.08273e+06,244.934
Coarse,2944,2289.3,3.49451e+06,286.163
Fine,2944,2293.81,3.48765e+06,286.726
RTMAdaptiveCoarse,2944,2004.84,3.99034e+06,250.605
RTMAdaptiveFine,2944,2001.19,3.99763e+06,250.148
RTMNaive,2944,1964.82,4.07163e+06,245.602
Coarse,3008,2159.63,3.70433e+06,269.954
Fine,3008,2282.29,3.50525e+06,285.287
RTMAdaptiveCoarse,3008,2009.39,3.98132e+06,251.173
RTMAdaptiveFine,3008,2008.17,3.98372e+06,251.022
RTMNaive,3008,1963.67,4.07399e+06,245.459
Coarse,3072,2299.55,3.47894e+06,287.444
Fine,3072,2313.17,3.45846e+06,289.146
RTMAdaptiveCoarse,3072,2002.02,3.99597e+06,250.252
RTMAdaptiveFine,3072,2001.3,3.9974e+06,250.163
RTMNaive,3072,1960.38,4.08084e+06,245.048
Coarse,3136,2152.35,3.71686e+06,269.044
Fine,3136,2145.14,3.72936e+06,268.143
RTMAdaptiveCoarse,3136,2007.51,3.98504e+06,250.939
RTMAdaptiveFine,3136,2005.25,3.98954e+06,250.656
RTMNaive,3136,1964.16,4.073e+06,245.519
Coarse,3200,2288.47,3.49578e+06,286.059
Fine,3200,2252.66,3.55136e+06,281.582
RTMAdaptiveCoarse,3200,1998.99,4.00202e+06,249.874
RTMAdaptiveFine,3200,2010.27,3.97957e+06,251.284
RTMNaive,3200,1967.03,4.06705e+06,245.879
Coarse,3264,2187.55,3.65706e+06,273.443
Fine,3264,2324.4,3.44175e+06,290.55
RTMAdaptiveCoarse,3264,2009.9,3.98031e+06,251.237
RTMAdaptiveFine,3264,1998.52,4.00295e+06,249.815
RTMNaive,3264,1965.84,4.06952e+06,245.729
Coarse,3328,2166.97,3.69179e+06,270.871
Fine,3328,5274.73,1.51667e+06,659.341
RTMAdaptiveCoarse,3328,2004.66,3.99069e+06,250.583
RTMAdaptiveFine,3328,2005.57,3.98889e+06,250.696
RTMNaive,3328,1968.35,4.06431e+06,246.044
Coarse,3392,2170.96,3.685e+06,271.37
Fine,3392,2144.63,3.73024e+06,268.079
RTMAdaptiveCoarse,3392,2005.46,3.98912e+06,250.682
RTMAdaptiveFine,3392,2005.69,3.98866e+06,250.711
RTMNaive,3392,1961,4.07955e+06,245.125
Coarse,3456,1757.11,4.55293e+06,219.639
Fine,3456,2164.43,3.69613e+06,270.553
RTMAdaptiveCoarse,3456,2005.17,3.98969e+06,250.646
RTMAdaptiveFine,3456,2006.1,3.98784e+06,250.763
RTMNaive,3456,1964.51,4.07226e+06,245.564
Coarse,3520,2082.5,3.84153e+06,260.313
Fine,3520,2334.97,3.42617e+06,291.871
RTMAdaptiveCoarse,3520,2006.41,3.98721e+06,250.802
RTMAdaptiveFine,3520,2001.98,3.99605e+06,250.247
RTMNaive,3520,1965.53,4.07015e+06,245.691
Coarse,3584,2030.52,3.93987e+06,253.816
Fine,3584,2308.14,3.466e+06,288.517
RTMAdaptiveCoarse,3584,2006.13,3.98777e+06,250.767
RTMAdaptiveFine,3584,2004.07,3.99188e+06,250.509
RTMNaive,3584,1963.63,4.07409e+06,245.453
Coarse,3648,2130.06,3.75576e+06,266.258
Fine,3648,2317.03,3.4527e+06,289.629
RTMAdaptiveCoarse,3648,1997.51,4.00499e+06,249.689
RTMAdaptiveFine,3648,2002.54,3.99492e+06,250.318
RTMNaive,3648,1960.24,4.08114e+06,245.03
Coarse,3712,2139.84,3.7386e+06,267.48
Fine,3712,2320.47,3.44757e+06,290.059
RTMAdaptiveCoarse,3712,2006.47,3.98709e+06,250.809
RTMAdaptiveFine,3712,2004.02,3.99198e+06,250.502
RTMNaive,3712,1965.38,4.07046e+06,245.672
Coarse,3776,2318.57,3.4504e+06,289.821
Fine,3776,2289.18,3.4947e+06,286.147
RTMAdaptiveCoarse,3776,2008.3,3.98347e+06,251.038
RTMAdaptiveFine,3776,2007.15,3.98575e+06,250.894
RTMNaive,3776,1965.03,4.07119e+06,245.629
Coarse,3840,2081.19,3.84396e+06,260.149
Fine,3840,2343.27,3.41403e+06,292.909
RTMAdaptiveCoarse,3840,2017.92,3.96447e+06,252.24
RTMAdaptiveFine,3840,2006.18,3.98767e+06,250.773
RTMNaive,3840,1963.3,4.07478e+06,245.412
Coarse,3904,1817.77,4.40099e+06,227.222
Fine,3904,2295.97,3.48436e+06,286.996
RTMAdaptiveCoarse,3904,2012.12,3.97591e+06,251.515
RTMAdaptiveFine,3904,2008.8,3.98247e+06,251.1
RTMNaive,3904,1964.04,4.07323e+06,245.505
Coarse,3968,2188.73,3.65509e+06,273.591
Fine,3968,2309.51,3.46393e+06,288.689
RTMAdaptiveCoarse,3968,2007.54,3.98497e+06,250.943
RTMAdaptiveFine,3968,2011.69,3.97676e+06,251.461
RTMNaive,3968,1971.76,4.0573e+06,246.469
Coarse,4032,2176.95,3.67487e+06,272.118
Fine,4032,2327.46,3.43722e+06,290.933
RTMAdaptiveCoarse,4032,2005.06,3.98991e+06,250.632
RTMAdaptiveFine,4032,2004.8,3.99043e+06,250.599
RTMNaive,4032,1969.95,4.06102e+06,246.244
Coarse,4096,2245.21,3.56314e+06,280.652
Fine,4096,2214.5,3.61256e+06,276.812
RTMAdaptiveCoarse,4096,2019.05,3.96226e+06,252.381
RTMAdaptiveFine,4096,2005.43,3.98918e+06,250.678
